nome,bioma,area_km2,cobertura_florestal_pct,desmatamento_acumulado_km2,desmatamento_evitado_acumulado_km2,desmatamento_2008,desmatamento_2009,desmatamento_2010,desmatamento_2011,desmatamento_2012,desmatamento_2013,desmatamento_2014,desmatamento_2015,desmatamento_2016,desmatamento_2017,desmatamento_2018,desmatamento_2019,desmatamento_2020,desmatamento_2021,desmatamento_2022,desmatamento_2023,desmatamento_2024,evitado_2008,evitado_2009,evitado_2010,evitado_2011,evitado_2012,evitado_2013,evitado_2014,evitado_2015,evitado_2016,evitado_2017,evitado_2018,evitado_2019,evitado_2020,evitado_2021,evitado_2022,evitado_2023,evitado_2024
Colniza,Amazônia,28086,44,,"{'2008': {'esperado': 92.0, 'observado': 123.4, 'evitado': -31.4}, '2009': {'esperado': 91.5, 'observado': 74.4, 'evitado': 17.1}, '2010': {'esperado': 91.0, 'observado': 78.1, 'evitado': 12.9}, '2011': {'esperado': 90.6, 'observado': 86.8, 'evitado': 3.8}, '2012': {'esperado': 90.1, 'observado': 80.3, 'evitado': 9.8}, '2013': {'esperado': 89.7, 'observado': 155.9, 'evitado': -66.2}, '2014': {'esperado': 89.2, 'observado': 145.6, 'evitado': -56.4}, '2015': {'esperado': 88.7, 'observado': 249.8, 'evitado': -161.1}, '2016': {'esperado': 88.3, 'observado': 223.1, 'evitado': -134.8}, '2017': {'esperado': 87.8, 'observado': 174.4, 'evitado': -86.6}, '2018': {'esperado': 87.4, 'observado': 234.5, 'evitado': -147.2}, '2019': {'esperado': 86.9, 'observado': 197.7, 'evitado': -110.8}, '2020': {'esperado': 86.4, 'observado': 239.4, 'evitado': -153.0}, '2021': {'esperado': 86.0, 'observado': 267.4, 'evitado': -181.4}, '2022': {'esperado': 119.3, 'observado': 397.8, 'evitado': -278.5}, '2023': {'esperado': 85.1, 'observado': 149.3, 'evitado': -64.2}, '2024': {'esperado': 84.6, 'observado': 113.1, 'evitado': -28.5}}",123.39,74.38,78.1,86.79,80.31,155.88,145.63,249.84,223.11,174.44,234.54,197.65,239.43,267.42,397.8,149.27,113.14,,,,,,,,,,,,,,,,,
Aripuanã,Amazônia,24646,49,,"{'2008': {'esperado': 51.1, 'observado': 80.4, 'evitado': -29.3}, '2009': {'esperado': 50.8, 'observado': 41.2, 'evitado': 9.7}, '2010': {'esperado': 50.6, 'observado': 31.7, 'evitado': 18.9}, '2011': {'esperado': 50.3, 'observado': 34.0, 'evitado': 16.3}, '2012': {'esperado': 50.1, 'observado': 21.4, 'evitado': 28.7}, '2013': {'esperado': 49.8, 'observado': 40.0, 'evitado': 9.8}, '2014': {'esperado': 49.6, 'observado': 39.9, 'evitado': 9.7}, '2015': {'esperado': 49.3, 'observado': 52.0, 'evitado': -2.7}, '2016': {'esperado': 49.1, 'observado': 83.4, 'evitado': -34.4}, '2017': {'esperado': 48.8, 'observado': 91.9, 'evitado': -43.1}, '2018': {'esperado': 48.5, 'observado': 110.8, 'evitado': -62.2}, '2019': {'esperado': 48.3, 'observado': 153.9, 'evitado': -105.6}, '2020': {'esperado': 48.0, 'observado': 142.9, 'evitado': -94.8}, '2021': {'esperado': 50.2, 'observado': 167.4, 'evitado': -117.2}, '2022': {'esperado': 47.5, 'observado': 132.7, 'evitado': -85.1}, '2023': {'esperado': 47.3, 'observado': 93.0, 'evitado': -45.8}, '2024': {'esperado': 47.0, 'observado': 68.1, 'evitado': -21.1}}",80.37,41.19,31.73,34.05,21.39,40.01,39.89,52.01,83.44,91.93,110.75,153.86,142.88,167.39,132.66,93.05,68.08,,,,,,,,,,,,,,,,,
Nova Bandeirantes,Amazônia,9531,42,,"{'2008': {'esperado': 64.8, 'observado': 124.8, 'evitado': -60.0}, '2009': {'esperado': 64.5, 'observado': 52.5, 'evitado': 12.0}, '2010': {'esperado': 64.2, 'observado': 17.1, 'evitado': 47.1}, '2011': {'esperado': 63.8, 'observado': 48.4, 'evitado': 15.4}, '2012': {'esperado': 63.5, 'observado': 33.9, 'evitado': 29.6}, '2013': {'esperado': 63.2, 'observado': 63.1, 'evitado': 0.1}, '2014': {'esperado': 62.9, 'observado': 70.3, 'evitado': -7.4}, '2015': {'esperado': 62.5, 'observado': 36.4, 'evitado': 26.1}, '2016': {'esperado': 62.2, 'observado': 81.9, 'evitado': -19.7}, '2017': {'esperado': 61.9, 'observado': 48.9, 'evitado': 13.0}, '2018': {'esperado': 61.6, 'observado': 59.6, 'evitado': 2.0}, '2019': {'esperado': 61.2, 'observado': 124.0, 'evitado': -62.7}, '2020': {'esperado': 60.9, 'observado': 50.7, 'evitado': 10.2}, '2021': {'esperado': 60.6, 'observado': 124.0, 'evitado': -63.4}, '2022': {'esperado': 60.3, 'observado': 177.6, 'evitado': -117.3}, '2023': {'esperado': 59.9, 'observado': 69.3, 'evitado': -9.3}, '2024': {'esperado': 59.6, 'observado': 21.9, 'evitado': 37.7}}",124.79,52.52,17.09,48.44,33.86,63.11,70.27,36.44,81.9,48.9,59.57,123.98,50.7,123.95,177.61,69.26,21.9,,,,,,,,,,,,,,,,,
Marcelândia,Amazônia,12294,46,,"{'2008': {'esperado': 62.0, 'observado': 176.9, 'evitado': -114.9}, '2009': {'esperado': 61.7, 'observado': 3.4, 'evitado': 58.4}, '2010': {'esperado': 61.4, 'observado': 5.8, 'evitado': 55.6}, '2011': {'esperado': 61.1, 'observado': 20.6, 'evitado': 40.4}, '2012': {'esperado': 60.8, 'observado': 12.4, 'evitado': 48.4}, '2013': {'esperado': 60.5, 'observado': 36.6, 'evitado': 23.9}, '2014': {'esperado': 60.2, 'observado': 35.1, 'evitado': 25.1}, '2015': {'esperado': 59.9, 'observado': 44.8, 'evitado': 15.1}, '2016': {'esperado': 59.5, 'observado': 55.2, 'evitado': 4.3}, '2017': {'esperado': 59.2, 'observado': 48.0, 'evitado': 11.2}, '2018': {'esperado': 58.9, 'observado': 22.1, 'evitado': 36.9}, '2019': {'esperado': 58.6, 'observado': 96.0, 'evitado': -37.4}, '2020': {'esperado': 58.3, 'observado': 112.1, 'evitado': -53.8}, '2021': {'esperado': 58.0, 'observado': 133.1, 'evitado': -75.1}, '2022': {'esperado': 57.7, 'observado': 70.4, 'evitado': -12.7}, '2023': {'esperado': 57.4, 'observado': 111.2, 'evitado': -53.8}, '2024': {'esperado': 57.1, 'observado': 86.3, 'evitado': -29.2}}",176.88,3.35,5.85,20.65,12.41,36.61,35.1,44.78,55.22,47.99,22.06,95.99,112.1,133.13,70.38,111.16,86.3,,,,,,,,,,,,,,,,,
Feliz Natal,Amazônia,11462,47,,"{'2008': {'esperado': 85.1, 'observado': 223.9, 'evitado': -138.8}, '2009': {'esperado': 84.7, 'observado': 3.6, 'evitado': 81.1}, '2010': {'esperado': 84.3, 'observado': 27.9, 'evitado': 56.4}, '2011': {'esperado': 83.9, 'observado': 27.5, 'evitado': 56.4}, '2012': {'esperado': 83.4, 'observado': 20.1, 'evitado': 63.3}, '2013': {'esperado': 83.0, 'observado': 21.9, 'evitado': 61.1}, '2014': {'esperado': 82.6, 'observado': 49.5, 'evitado': 33.1}, '2015': {'esperado': 82.2, 'observado': 84.1, 'evitado': -1.9}, '2016': {'esperado': 81.7, 'observado': 79.3, 'evitado': 2.4}, '2017': {'esperado': 81.3, 'observado': 40.5, 'evitado': 40.8}, '2018': {'esperado': 80.9, 'observado': 63.1, 'evitado': 17.8}, '2019': {'esperado': 80.5, 'observado': 47.4, 'evitado': 33.0}, '2020': {'esperado': 80.0, 'observado': 63.5, 'evitado': 16.6}, '2021': {'esperado': 79.6, 'observado': 42.7, 'evitado': 36.9}, '2022': {'esperado': 79.2, 'observado': 49.0, 'evitado': 30.1}, '2023': {'esperado': 78.8, 'observado': 99.6, 'evitado': -20.9}, '2024': {'esperado': 78.3, 'observado': 22.6, 'evitado': 55.7}}",223.95,3.62,27.85,27.47,20.09,21.93,49.48,84.07,79.3,40.5,63.09,47.42,63.45,42.72,49.05,99.61,22.59,,,,,,,,,,,,,,,,,
Juara,Amazônia,22622,51,,"{'2008': {'esperado': 56.6, 'observado': 124.0, 'evitado': -67.4}, '2009': {'esperado': 56.3, 'observado': 30.8, 'evitado': 25.6}, '2010': {'esperado': 56.1, 'observado': 15.1, 'evitado': 40.9}, '2011': {'esperado': 55.8, 'observado': 56.8, 'evitado': -1.0}, '2012': {'esperado': 55.5, 'observado': 15.8, 'evitado': 39.7}, '2013': {'esperado': 55.2, 'observado': 15.9, 'evitado': 39.3}, '2014': {'esperado': 54.9, 'observado': 27.9, 'evitado': 27.0}, '2015': {'esperado': 54.6, 'observado': 46.0, 'evitado': 8.6}, '2016': {'esperado': 54.4, 'observado': 38.6, 'evitado': 15.8}, '2017': {'esperado': 54.1, 'observado': 21.5, 'evitado': 32.6}, '2018': {'esperado': 53.8, 'observado': 25.8, 'evitado': 28.0}, '2019': {'esperado': 53.5, 'observado': 85.5, 'evitado': -31.9}, '2020': {'esperado': 53.2, 'observado': 52.6, 'evitado': 0.7}, '2021': {'esperado': 52.9, 'observado': 88.2, 'evitado': -35.3}, '2022': {'esperado': 52.7, 'observado': 80.5, 'evitado': -27.8}, '2023': {'esperado': 52.4, 'observado': 116.5, 'evitado': -64.2}, '2024': {'esperado': 52.1, 'observado': 52.8, 'evitado': -0.7}}",123.98,30.78,15.13,56.82,15.82,15.91,27.93,46.04,38.57,21.47,25.76,85.45,52.57,88.22,80.48,116.54,52.82,,,,,,,,,,,,,,,,,
Peixoto de Azevedo,Amazônia,14258,49,,"{'2008': {'esperado': 38.7, 'observado': 69.2, 'evitado': -30.5}, '2009': {'esperado': 38.5, 'observado': 24.4, 'evitado': 14.0}, '2010': {'esperado': 38.3, 'observado': 22.4, 'evitado': 15.9}, '2011': {'esperado': 38.1, 'observado': 56.8, 'evitado': -18.7}, '2012': {'esperado': 37.9, 'observado': 38.9, 'evitado': -1.0}, '2013': {'esperado': 37.7, 'observado': 51.6, 'evitado': -13.9}, '2014': {'esperado': 37.5, 'observado': 23.5, 'evitado': 14.0}, '2015': {'esperado': 37.3, 'observado': 37.4, 'evitado': -0.1}, '2016': {'esperado': 37.1, 'observado': 36.2, 'evitado': 1.0}, '2017': {'esperado': 36.9, 'observado': 39.7, 'evitado': -2.8}, '2018': {'esperado': 36.7, 'observado': 23.5, 'evitado': 13.2}, '2019': {'esperado': 36.5, 'observado': 55.3, 'evitado': -18.8}, '2020': {'esperado': 36.4, 'observado': 64.8, 'evitado': -28.4}, '2021': {'esperado': 36.2, 'observado': 88.4, 'evitado': -52.3}, '2022': {'esperado': 36.0, 'observado': 55.0, 'evitado': -19.0}, '2023': {'esperado': 35.8, 'observado': 80.5, 'evitado': -44.7}, '2024': {'esperado': 35.6, 'observado': 63.1, 'evitado': -27.6}}",69.19,24.45,22.38,56.78,38.91,51.64,23.47,37.43,36.16,39.7,23.51,55.31,64.77,88.41,54.95,80.48,63.13,,,,,,,,,,,,,,,,,
Nova Ubiratã,Amazônia,12699,49,,"{'2008': {'esperado': 64.6, 'observado': 140.2, 'evitado': -75.5}, '2009': {'esperado': 64.3, 'observado': 30.8, 'evitado': 33.5}, '2010': {'esperado': 64.0, 'observado': 22.9, 'evitado': 41.1}, '2011': {'esperado': 63.7, 'observado': 94.1, 'evitado': -30.5}, '2012': {'esperado': 63.4, 'observado': 19.9, 'evitado': 43.5}, '2013': {'esperado': 63.0, 'observado': 9.7, 'evitado': 53.3}, '2014': {'esperado': 62.7, 'observado': 15.6, 'evitado': 47.2}, '2015': {'esperado': 62.4, 'observado': 28.1, 'evitado': 34.3}, '2016': {'esperado': 62.1, 'observado': 23.5, 'evitado': 38.6}, '2017': {'esperado': 61.7, 'observado': 43.7, 'evitado': 18.0}, '2018': {'esperado': 61.4, 'observado': 23.4, 'evitado': 38.0}, '2019': {'esperado': 61.1, 'observado': 19.1, 'evitado': 42.0}, '2020': {'esperado': 60.8, 'observado': 32.0, 'evitado': 28.8}, '2021': {'esperado': 60.4, 'observado': 59.2, 'evitado': 1.2}, '2022': {'esperado': 60.1, 'observado': 55.8, 'evitado': 4.3}, '2023': {'esperado': 59.8, 'observado': 116.0, 'evitado': -56.2}, '2024': {'esperado': 59.5, 'observado': 18.1, 'evitado': 41.4}}",140.18,30.84,22.92,94.14,19.86,9.69,15.55,28.11,23.51,43.73,23.43,19.1,31.98,59.23,55.84,115.96,18.06,,,,,,,,,,,,,,,,,
Nova Maringá,Amazônia,11558,49,,"{'2008': {'esperado': 11.6, 'observado': 17.9, 'evitado': -6.3}, '2009': {'esperado': 11.5, 'observado': 11.3, 'evitado': 0.2}, '2010': {'esperado': 11.5, 'observado': 5.6, 'evitado': 5.9}, '2011': {'esperado': 11.4, 'observado': 8.9, 'evitado': 2.6}, '2012': {'esperado': 11.4, 'observado': 5.5, 'evitado': 5.9}, '2013': {'esperado': 13.3, 'observado': 44.2, 'evitado': -30.9}, '2014': {'esperado': 11.2, 'observado': 36.0, 'evitado': -24.8}, '2015': {'esperado': 12.3, 'observado': 41.0, 'evitado': -28.7}, '2016': {'esperado': 11.1, 'observado': 23.6, 'evitado': -12.5}, '2017': {'esperado': 14.7, 'observado': 49.1, 'evitado': -34.3}, '2018': {'esperado': 12.2, 'observado': 40.7, 'evitado': -28.5}, '2019': {'esperado': 10.9, 'observado': 35.5, 'evitado': -24.5}, '2020': {'esperado': 10.9, 'observado': 18.2, 'evitado': -7.3}, '2021': {'esperado': 10.8, 'observado': 30.2, 'evitado': -19.3}, '2022': {'esperado': 10.8, 'observado': 26.3, 'evitado': -15.5}, '2023': {'esperado': 39.0, 'observado': 129.8, 'evitado': -90.9}, '2024': {'esperado': 61.1, 'observado': 203.7, 'evitado': -142.6}}",17.88,11.31,5.57,8.86,5.45,44.2,36.0,40.99,23.6,49.06,40.71,35.46,18.17,30.17,26.26,129.84,203.69,,,,,,,,,,,,,,,,,
União do Sul,Amazônia,4581,40,,"{'2008': {'esperado': 16.9, 'observado': 38.8, 'evitado': -21.9}, '2009': {'esperado': 16.8, 'observado': 3.0, 'evitado': 13.9}, '2010': {'esperado': 16.7, 'observado': 8.9, 'evitado': 7.8}, '2011': {'esperado': 16.6, 'observado': 11.1, 'evitado': 5.5}, '2012': {'esperado': 16.6, 'observado': 15.8, 'evitado': 0.8}, '2013': {'esperado': 16.5, 'observado': 13.0, 'evitado': 3.5}, '2014': {'esperado': 16.4, 'observado': 16.7, 'evitado': -0.3}, '2015': {'esperado': 16.3, 'observado': 38.6, 'evitado': -22.3}, '2016': {'esperado': 16.2, 'observado': 24.1, 'evitado': -7.9}, '2017': {'esperado': 16.1, 'observado': 45.9, 'evitado': -29.8}, '2018': {'esperado': 16.1, 'observado': 28.5, 'evitado': -12.5}, '2019': {'esperado': 18.7, 'observado': 62.5, 'evitado': -43.7}, '2020': {'esperado': 40.1, 'observado': 133.8, 'evitado': -93.6}, '2021': {'esperado': 20.2, 'observado': 67.3, 'evitado': -47.1}, '2022': {'esperado': 17.1, 'observado': 57.0, 'evitado': -39.9}, '2023': {'esperado': 27.9, 'observado': 92.9, 'evitado': -65.0}, '2024': {'esperado': 15.5, 'observado': 43.0, 'evitado': -27.5}}",38.84,2.96,8.89,11.13,15.8,12.96,16.71,38.57,24.09,45.9,28.53,62.47,133.77,67.3,56.98,92.88,43.05,,,,,,,,,,,,,,,,,
